type,time_start,time_end,score
speech_segment,3859.73,3861.64,
speech_segment,3863.87,3867.49,
speech_segment,3867.64,3874.68,
speech_segment,3875.43,3877.88,
speech_segment,3881.18,3882.84,
speech_segment,3883.56,3884.72,
speech_segment,3884.75,3891.22,
speech_segment,3892.59,3897.81,
speech_segment,3898.02,3900.74,
speech_segment,3901.46,3906.96,
speech_segment,3907.26,3910.46,
speech_segment,3910.56,3912.69,
speech_segment,3913.20,3918.36,
speech_segment,3918.77,3924.66,
speech_segment,3924.57,3927.49,
speech_segment,3927.57,3928.93,
speech_segment,3930.90,3933.60,
speech_segment,3934.42,3939.00,
speech_segment,3940.23,3945.95,
speech_segment,3948.38,3949.91,
speech_segment,3949.85,3951.14,
speech_segment,3957.33,3964.54,
speech_segment,3965.14,3968.13,
speech_segment,3968.32,3971.81,
speech_segment,3972.54,3976.03,
speech_segment,3976.34,3979.12,
speech_segment,3979.23,3982.00,
speech_segment,3985.65,3992.86,
speech_segment,3992.98,3994.23,
speech_segment,3994.76,4002.18,
speech_segment,4003.49,4010.18,
speech_segment,4010.42,4016.94,
speech_segment,4017.21,4027.81,
speech_segment,4027.79,4038.34,
speech_segment,4041.42,4048.21,
speech_segment,4048.39,4059.13,
speech_segment,4059.18,4068.16,
speech_segment,4068.31,4069.30,
speech_segment,4069.47,4073.66,
speech_segment,4073.93,4075.29,
speech_segment,4075.40,4079.16,
speech_segment,4079.19,4080.01,
speech_segment,4080.14,4081.83,
speech_segment,4081.85,4082.66,
speech_segment,4082.72,4083.96,
speech_segment,4084.50,4085.68,
speech_segment,4085.67,4087.89,
speech_segment,4087.92,4095.85,
speech_segment,4098.07,4099.66,
speech_segment,4100.14,4100.98,
speech_segment,4100.96,4102.07,
speech_segment,4102.18,4105.17,
speech_segment,4105.48,4112.40,
speech_segment,4112.35,4113.84,
speech_segment,4114.31,4115.35,
speech_segment,4116.21,4130.83,
speech_segment,4130.82,4132.70,
speech_segment,4133.11,4139.16,
speech_segment,4139.26,4141.96,
speech_segment,4141.89,4149.73,
speech_segment,4149.74,4152.50,
speech_segment,4152.58,4154.68,
speech_segment,4158.40,4162.71,
speech_segment,4162.84,4164.06,
speech_segment,4164.13,4175.86,
speech_segment,4177.90,4181.14,
speech_segment,4181.75,4189.66,
speech_segment,4190.30,4194.55,
speech_segment,4194.52,4197.73,
speech_segment,4197.80,4199.89,
speech_segment,4199.89,4201.73,
speech_segment,4202.00,4202.96,
speech_segment,4203.00,4204.50,
speech_segment,4204.42,4206.39,
speech_segment,4206.91,4208.30,
speech_segment,4209.10,4211.48,
speech_segment,4211.67,4213.12,
speech_segment,4213.13,4218.89,
speech_segment,4219.94,4223.46,
speech_segment,4223.65,4228.04,
speech_segment,4228.55,4230.69,
speech_segment,4232.17,4233.35,
speech_segment,4234.40,4236.06,
speech_segment,4237.66,4239.80,
speech_segment,4240.01,4242.49,
speech_segment,4242.48,4245.00,
speech_segment,4245.54,4249.40,
speech_segment,4249.98,4251.79,
speech_segment,4251.98,4253.49,
speech_segment,4258.46,4261.08,
speech_segment,4261.21,4269.33,
speech_segment,4271.68,4272.55,
speech_segment,4273.25,4274.65,
speech_segment,4276.99,4277.90,
speech_segment,4278.99,4285.28,
speech_segment,4285.79,4288.33,
speech_segment,4288.83,4291.65,
speech_segment,4293.49,4297.19,
speech_segment,4297.75,4304.79,
speech_segment,4306.62,4312.18,
speech_segment,4312.23,4315.81,
speech_segment,4317.24,4321.39,
speech_segment,4327.13,4329.21,
speech_segment,4329.90,4332.55,
speech_segment,4333.51,4337.92,
speech_segment,4338.21,4344.12,
speech_segment,4344.21,4354.79,
speech_segment,4354.70,4358.75,
speech_segment,4358.69,4369.06,
speech_segment,4369.05,4370.51,
speech_segment,4371.71,4378.87,
speech_segment,4379.15,4382.85,
speech_segment,4382.80,4385.19,
speech_segment,4385.45,4387.48,
speech_segment,4387.44,4395.58,
speech_segment,4395.93,4400.86,
speech_segment,4401.22,4402.01,
speech_segment,4402.17,4418.73,
speech_segment,4422.94,4425.95,
speech_segment,4426.43,4431.88,
speech_segment,4432.90,4436.66,
speech_segment,4436.70,4441.22,
speech_segment,4441.55,4446.19,
speech_segment,4446.13,4448.54,
speech_segment,4449.24,4450.34,
speech_segment,4450.56,4456.27,
speech_segment,4456.24,4462.34,
speech_segment,4462.88,4464.71,
speech_segment,4464.83,4465.74,
speech_segment,4465.71,4469.60,
speech_segment,4469.59,4472.35,
speech_segment,4472.39,4478.75,
speech_segment,4479.43,4481.41,
speech_segment,4481.48,4482.50,
speech_segment,4482.75,4485.08,
speech_segment,4485.15,4490.13,
speech_segment,4491.20,4497.80,
